4 250.0 250.0
86.0 70.0 0.0 0.0
86.0 70.0 0.0 70.0
86.0 70.0 0.0 140.0
160.0 120.0 86.0 0.0
160.0 120.0 86.0 120.0
75.0 86.0 0.0 250.0
72.0 153.0 0.0 336.0
85.0 66.0 75.0 250.0
85.0 66.0 160.0 250.0
175.0 91.0 75.0 316.0
175.0 91.0 75.0 407.0
98.0 85.0 0.0 500.0
107.0 164.0 0.0 585.0
71.0 71.0 107.0 500.0
71.0 71.0 178.0 500.0
143.0 84.0 107.0 571.0
142.0 92.0 107.0 655.0
97.0 125.0 0.0 750.0
97.0 125.0 0.0 875.0
151.0 62.0 97.0 750.0
151.0 62.0 97.0 812.0
151.0 62.0 97.0 874.0
151.0 62.0 97.0 936.0

4 500.0 500.0
250.0 164.0 0.0 0.0
250.0 164.0 0.0 164.0
250.0 164.0 0.0 328.0
250.0 164.0 250.0 0.0
250.0 164.0 250.0 164.0
250.0 164.0 250.0 328.0
241.0 210.0 0.0 500.0
134.0 287.0 0.0 712.0
134.0 287.0 134.0 712.0
256.0 212.0 241.0 500.0
220.0 260.0 268.0 712.0
219.0 247.0 0.0 1000.0
219.0 247.0 0.0 1247.0
277.0 221.0 219.0 1000.0
273.0 268.0 219.0 1221.0
177.0 233.0 0.0 1500.0
175.0 261.0 0.0 1733.0
322.0 237.0 177.0 1500.0
144.0 131.0 177.0 1737.0
144.0 131.0 177.0 1868.0
175.0 261.0 321.0 1737.0

4 1000.0 1000.0
498.0 325.0 0.0 0.0
498.0 325.0 0.0 325.0
498.0 325.0 0.0 650.0
498.0 325.0 498.0 0.0
498.0 325.0 498.0 325.0
498.0 325.0 498.0 650.0
260.0 483.0 0.0 1000.0
260.0 483.0 0.0 1483.0
717.0 269.0 260.0 1000.0
739.0 728.0 260.0 1269.0
336.0 341.0 0.0 2000.0
332.0 650.0 0.0 2341.0
301.0 344.0 336.0 2000.0
332.0 650.0 336.0 2344.0
336.0 341.0 637.0 2000.0
332.0 650.0 668.0 2344.0
426.0 277.0 0.0 3000.0
426.0 277.0 0.0 3277.0
433.0 446.0 0.0 3554.0
281.0 439.0 433.0 3000.0
281.0 439.0 714.0 3000.0
549.0 554.0 433.0 3439.0

1 3000 3000
200 378 0 0
200 378 200 0
200 378 400 0
200 378 600 0
200 378 800 0
200 378 1000 0
200 378 1200 0
200 378 1400 0
200 378 1600 0
200 378 1800 0
200 378 2000 0
200 378 2200 0
200 378 2400 0
200 378 2600 0
200 378 2800 0
200 378 0 378
200 378 200 378
200 378 400 378
200 378 600 378
200 378 800 378
200 378 1000 378
200 378 1200 378
200 378 1400 378
200 378 1600 378
200 378 1800 378
200 378 2000 378
200 378 2200 378
200 378 2400 378
200 378 2600 378
200 378 2800 378
200 378 0 756
200 378 200 756
200 378 400 756
200 378 600 756
200 378 800 756
200 378 1000 756
200 378 1200 756
200 378 1400 756
200 378 1600 756
200 378 1800 756
200 378 2000 756
200 378 2200 756
200 378 2400 756
200 378 2600 756
200 378 2800 756
200 378 0 1134
200 378 200 1134
200 378 400 1134
200 378 600 1134
200 378 800 1134
200 378 1000 1134
200 378 1200 1134
200 378 1400 1134
200 378 1600 1134
200 378 1800 1134
200 378 2000 1134
200 378 2200 1134
200 378 2400 1134
200 378 2600 1134
200 378 2800 1134
200 378 0 1512
200 378 200 1512
200 378 400 1512
200 378 600 1512
200 378 800 1512
200 378 1000 1512
200 378 1200 1512
200 378 1400 1512
200 378 1600 1512
200 378 1800 1512
200 378 2000 1512
200 378 2200 1512
200 378 2400 1512
200 378 2600 1512
200 378 2800 1512
496 555 0 1890
496 555 0 2445
496 555 496 1890
496 555 496 2445
496 555 992 1890
496 555 992 2445
755 555 1488 1890
755 555 1488 2445
755 555 2243 1890
755 555 2243 2445

4 250.0 250.0
70.0 86.0 0.0 0.0
83.0 140.0 0.0 86.0
148.0 66.0 83.0 0.0
167.0 184.0 83.0 66.0
86.0 75.0 0.0 250.0
91.0 175.0 0.0 325.0
158.0 121.0 91.0 250.0
158.0 121.0 91.0 371.0
80.0 66.0 0.0 500.0
86.0 89.0 0.0 566.0
86.0 93.0 0.0 655.0
164.0 107.0 86.0 500.0
71.0 71.0 86.0 607.0
71.0 71.0 86.0 678.0
92.0 142.0 157.0 607.0
71.0 83.0 0.0 750.0
71.0 83.0 0.0 833.0
71.0 83.0 0.0 916.0
82.0 62.0 71.0 750.0
82.0 62.0 71.0 812.0
82.0 62.0 71.0 874.0
82.0 62.0 71.0 936.0
97.0 125.0 153.0 750.0
97.0 125.0 153.0 875.0

4 500.0 500.0
164.0 250.0 0.0 0.0
164.0 250.0 0.0 250.0
164.0 250.0 164.0 0.0
164.0 250.0 164.0 250.0
164.0 250.0 328.0 0.0
164.0 250.0 328.0 250.0
132.0 189.0 0.0 500.0
137.0 294.0 0.0 689.0
355.0 165.0 137.0 500.0
355.0 165.0 137.0 665.0
355.0 165.0 137.0 830.0
202.0 250.0 0.0 1000.0
202.0 250.0 0.0 1250.0
284.0 184.0 202.0 1000.0
294.0 315.0 202.0 1184.0
233.0 177.0 0.0 1500.0
237.0 322.0 0.0 1677.0
261.0 204.0 237.0 1500.0
127.0 296.0 237.0 1704.0
134.0 147.0 364.0 1704.0
134.0 147.0 364.0 1851.0

4 1000.0 1000.0
325.0 498.0 0.0 0.0
325.0 498.0 0.0 498.0
325.0 498.0 325.0 0.0
325.0 498.0 325.0 498.0
325.0 498.0 650.0 0.0
325.0 498.0 650.0 498.0
260.0 483.0 0.0 1000.0
260.0 483.0 0.0 1483.0
717.0 269.0 260.0 1000.0
739.0 728.0 260.0 1269.0
336.0 341.0 0.0 2000.0
332.0 650.0 0.0 2341.0
301.0 344.0 336.0 2000.0
332.0 650.0 336.0 2344.0
336.0 341.0 637.0 2000.0
332.0 650.0 668.0 2344.0
392.0 491.0 0.0 3000.0
392.0 491.0 0.0 3491.0
606.0 479.0 392.0 3000.0
604.0 519.0 392.0 3479.0

1 3000 3000
378 200 0 0
378 200 378 0
378 200 756 0
378 200 1134 0
378 200 1512 0
378 200 0 200
378 200 378 200
378 200 756 200
378 200 1134 200
378 200 1512 200
378 200 0 400
378 200 378 400
378 200 756 400
378 200 1134 400
378 200 1512 400
